,Date,Close,High,Low,Open,Volume,Ticker
346,2015-05-19,224.49710083007807,225.43172916039327,223.94186741156727,225.43172916039327,828500,MCK
347,2015-05-20,223.7568206787109,225.2744428652757,223.00726535951745,224.26578235229115,765400,MCK
348,2015-05-21,221.57293701171875,223.40518502436584,220.6660687800293,223.0257759253313,1361300,MCK
349,2015-05-22,222.65557861328125,223.70126204447783,221.16571694270968,221.58213492463443,728700,MCK
350,2015-05-26,220.11080932617188,222.92395731591296,219.3705027646064,221.5729109022161,929600,MCK
351,2015-05-27,221.3507537841797,221.7394114450079,219.4074654800386,219.77761159887424,770500,MCK
352,2015-05-28,220.09228515625,221.72096232232013,219.6018350878782,220.5549749656704,832300,MCK
353,2015-05-29,219.52783203125,221.582176186141,219.3520076212101,221.063965790344,1289300,MCK
354,2015-06-01,220.490234375,221.341582040497,217.99171190362355,219.71290466287292,641600,MCK
355,2015-06-02,218.96331787109372,221.2397579149149,217.7788331049311,220.14780263725643,817900,MCK
356,2015-06-03,219.3334808349609,220.17556555533017,218.01944347288236,218.99108077486008,557600,MCK
357,2015-06-04,217.42523193359372,219.5928113637389,216.77681254865493,218.5553403478368,650300,MCK
358,2015-06-05,218.1015167236328,218.2497309595203,215.8412990970552,217.24004797970096,620600,MCK
359,2015-06-08,216.22108459472656,218.61098605365493,216.22108459472656,217.6846683161395,824200,MCK
360,2015-06-09,216.75833129882807,217.31412754569632,215.6096923180605,216.77686160958655,682700,MCK
361,2015-06-10,218.56463623046875,218.79621563188576,215.73936470628436,216.79536621136648,714700,MCK
362,2015-06-11,220.102294921875,221.3806175553088,219.59281748576132,220.27829750294,798800,MCK
363,2015-06-12,217.7958221435547,220.1023584007341,217.6476220476113,219.92635576890888,827700,MCK
364,2015-06-15,216.54525756835935,217.70315450557703,215.52630260981417,216.6008343598284,802400,MCK
365,2015-06-16,217.1659240722656,217.68465972327988,215.8690708102436,216.7861304225993,927900,MCK
366,2015-06-17,216.53602600097656,218.59245247832368,215.90613673342213,217.68466506676535,695500,MCK
367,2015-06-18,218.64801025390625,219.0185457918304,216.09137864741467,216.2118044640507,1299500,MCK
368,2015-06-19,218.4720001220703,219.45389446490464,218.16631363401137,218.33304400868852,796500,MCK
369,2015-06-22,218.38861083984372,220.9267259029924,218.2126223860947,220.03745487515357,563700,MCK
370,2015-06-23,218.18487548828125,219.05561643029932,216.93435501293604,219.00929771614128,637000,MCK
371,2015-06-24,213.54400634765625,218.38864369096808,213.5347482595874,217.6846473666228,1348100,MCK
372,2015-06-25,212.4324188232422,215.02611095357045,211.96000193138892,213.747788130987,1472200,MCK
373,2015-06-26,211.1262969970703,213.4884096066439,210.85767112331155,213.1549347190043,1264000,MCK
374,2015-06-29,207.7544860839844,211.03365792269517,207.6711209019366,209.43111848386656,1220500,MCK
375,2015-06-30,208.2454376220703,209.4774416092326,206.56880518678017,209.16249704741224,1396100,MCK
376,2015-07-01,209.14401245117188,210.5057006222596,208.4307438533434,210.1814837683867,928300,MCK
377,2015-07-02,207.73599243164065,210.41304989191428,206.56883727357695,210.0795749703981,923100,MCK
378,2015-07-06,208.0323638916016,208.58814585225755,205.29045816179385,205.8740426482404,1056700,MCK
379,2015-07-07,211.4134521484375,211.4968314708039,207.282083758122,209.01429306726683,1473800,MCK
380,2015-07-08,207.9768524169922,210.6075912731767,207.6989542821589,209.8572762032672,1150600,MCK
381,2015-07-09,210.1814727783203,211.25600466324235,209.5793719491668,210.63537352311133,1255400,MCK
382,2015-07-10,212.64547729492188,213.1734851395341,211.8025248418492,213.05305932209924,831000,MCK
383,2015-07-13,214.3776397705078,214.89638941329912,212.5435351848495,214.65553783123968,658900,MCK
384,2015-07-14,216.6009063720703,216.62869477704348,213.20132153029397,214.572268002096,941000,MCK
385,2015-07-15,217.1659240722656,217.8606623479782,213.94234243061535,216.48044388514745,919400,MCK
386,2015-07-16,217.7031707763672,219.4075918030612,216.95285576649025,218.89811428571105,832300,MCK
387,2015-07-17,217.1844482421875,218.31454280166125,216.0728557248929,217.14738761988517,955900,MCK
388,2015-07-20,217.26780700683597,217.90696844500744,216.06359123841708,217.90696844500744,819400,MCK
389,2015-07-21,215.35960388183597,217.66612587364008,213.58107562105843,217.64760969675223,943300,MCK
390,2015-07-22,217.80502319335935,217.897646456246,214.96122188102365,215.31322702964687,950500,MCK
391,2015-07-23,212.57139587402344,217.76803907952723,212.13602539551783,217.74025067745131,1283800,MCK
392,2015-07-24,209.9591522216797,213.42357102623123,209.57010052282823,213.14568705168372,910700,MCK
393,2015-07-27,208.1991729736328,209.92212455874628,207.6711792046154,209.07918614614044,956800,MCK
394,2015-07-28,210.0332946777344,210.2463438055747,207.26359947786057,209.55160548330252,1077200,MCK
395,2015-07-29,210.1351318359375,210.8576583596733,207.5506980795504,210.5705021944044,1400600,MCK
396,2015-07-30,201.34439086914065,206.3928188811998,199.71407700772707,205.16081479683933,4628300,MCK
397,2015-07-31,204.31787109375,204.4660711612145,200.9831222223242,202.02986558867147,2082100,MCK
398,2015-08-03,207.01345825195312,207.15241437597447,204.3178847135553,205.2163998033644,1753000,MCK
399,2015-08-04,206.4854431152344,207.67112841776887,205.65174886113485,206.8003876818018,900300,MCK
400,2015-08-05,206.9393615722656,208.171365768004,205.77220639790156,208.171365768004,925300,MCK
401,2015-08-06,202.2984771728516,207.12459754109776,202.15026298137175,206.8744878597861,1179700,MCK
402,2015-08-07,200.21429443359372,202.2799788161234,197.9818655256907,202.0576716282728,1904500,MCK
403,2015-08-10,201.32586669921875,202.863557329702,200.24207678770512,201.58523450020567,937500,MCK
404,2015-08-11,199.63998413085935,201.13135611457056,197.80586500477705,200.408829477442,885400,MCK
405,2015-08-12,199.3250274658203,199.7418817207677,196.41639057629607,198.1764026125025,1149600,MCK
406,2015-08-13,198.5006103515625,200.44588314240744,198.4172451522513,199.3528350594753,841400,MCK
407,2015-08-14,199.4176483154297,199.63996962396251,197.4631176481762,198.4542842474233,636300,MCK
408,2015-08-17,200.35321044921875,200.4551059419342,196.7405777701872,198.45427083826945,1251600,MCK
409,2015-08-18,199.6307373046875,200.47368986673723,198.10231863966376,199.8901051492432,1000400,MCK
410,2015-08-19,199.6307373046875,200.92759066195345,197.1945311837188,198.1301070419742,1078400,MCK
411,2015-08-20,194.9806060791016,198.44502502345875,194.83239186370517,197.70396808096208,944100,MCK
412,2015-08-21,187.6071319580078,194.0543096890461,187.22733828988837,193.22061523699216,1962600,MCK
413,2015-08-24,183.2256622314453,187.375561985277,148.30348427193513,177.7325903705462,2667900,MCK
414,2015-08-25,174.55531311035156,189.80249483933852,174.2959452799681,188.4778672866292,4399900,MCK
415,2015-08-26,183.3090057373047,183.75363426752207,175.0091930778253,180.1595312686618,4234800,MCK
416,2015-08-27,184.216796875,186.4214375288112,181.03026171857977,185.5970153394048,2351600,MCK
417,2015-08-28,186.26683044433597,186.461623482998,183.6787525525181,184.5971050551653,1896400,MCK
418,2015-08-31,183.2799072265625,188.49314831445668,182.74188373834616,186.26685691545117,2178200,MCK
419,2015-09-01,181.6101837158203,184.6249610207369,179.05921830396784,180.8866382949936,2416100,MCK
420,2015-09-02,182.74188232421875,185.5340247707404,181.57308147194783,184.1518744150328,1612500,MCK
421,2015-09-03,180.8588104248047,185.0795014758276,180.10743742394783,183.85503128597523,2070500,MCK
422,2015-09-04,178.86436462402344,180.47842040610928,176.20207563499628,179.2446794901037,2254200,MCK
423,2015-09-08,181.24838256835935,182.57489173469557,179.58794247964835,182.138907491266,1655100,MCK
424,2015-09-09,178.89224243164062,184.5043546883926,178.65105120242276,183.04799278901135,2070000,MCK
425,2015-09-10,180.98863220214844,182.0553936275722,177.14827125444594,178.66030217700342,2903700,MCK
426,2015-09-11,183.33555603027344,183.43759520819668,180.0981440710855,180.1630845272253,1478900,MCK
427,2015-09-14,182.38009643554688,183.95705389650027,181.2669508251336,183.69732039255095,1310100,MCK
428,2015-09-15,185.90505981445312,186.2111773186698,181.508118600814,183.07580484009927,1538400,MCK
429,2015-09-16,189.45787048339844,190.1628594031575,186.57296019652028,188.0107656148175,2467500,MCK
